,title,final,vote_average
271,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Drama Comedy War PeterSellers GeorgeC.Scott SterlingHayden StanleyKubrick,8.137
272,Kim,Family Adventure ErrolFlynn DeanStockwell PaulLukas VictorSaville,7.383
273,Maya Lin: A Strong Clear Vision,Documentary  FreidaLeeMock,7.2
274,Heavy,Drama Romance LivTyler PruittTaylorVince ShelleyWinters JamesMangold,6.8
275,Trainspotting,Drama Crime EwanMcGregor EwenBremner JonnyLeeMiller DannyBoyle,7.971
276,Independence Day,Action Adventure SciFi WillSmith BillPullman JeffGoldblum RolandEmmerich,6.863
277,Stealing Beauty,Drama Romance LivTyler SinéadCusack JeremyIrons BernardoBertolucci,6.703
278,The Hunchback of Notre Dame,Drama Animation Family TomHulce DemiMoore TonyJay GaryTrousdale,7.098
279,Kingpin,Comedy WoodyHarrelson RandyQuaid VanessaAngel BobbyFarrelly,6.518
280,The Gate of Heavenly Peace,Documentary  CarmaHinton,7.765
281,A Very Natural Thing,Drama RobertMcLane CurtGareth BoWhite ChristopherLarkin,8.0
282,The Frighteners,Horror Comedy MichaelJ.Fox JeffreyCombs JakeBusey PeterJackson,6.866
283,Lone Star,Drama Mystery Romance ChrisCooper MatthewMcConaughey ElizabethPeña JohnSayles,7.002
284,A Time to Kill,Crime Drama Thriller MatthewMcConaughey SandraBullock SamuelL.Jackson JoelSchumacher,7.374
285,The First Wives Club,Comedy GoldieHawn BetteMidler DianeKeaton HughWilson,6.724
286,Ransom,Action Thriller MelGibson GarySinise DelroyLindo RonHoward,6.648
287,Matilda,Comedy Family Fantasy MaraWilson DannyDeVito EmbethDavidtz DannyDeVito,7.141
288,Emma,Drama Comedy Romance GwynethPaltrow ToniCollette AlanCumming DouglasMcGrath,7.045
289,Lotto Land,Drama  JohnRubino,7.0
290,The Spitfire Grill,Comedy Drama AlisonElliott EllenBurstyn MarciaGayHarden LeeDavidZlotoff,6.686
291,Basquiat,Drama History JeffreyWright DavidBowie DennisHopper JulianSchnabel,6.7
292,The Godfather,Drama Crime MarlonBrando AlPacino JamesCaan FrancisFordCoppola,8.711
293,Bound,Crime Drama Romance Thriller JenniferTilly GinaGershon JoePantoliano LanaWachowski,7.173
294,Bye-Bye,Drama SamiBouajila KarimDridi,6.7
295,Sweet Nothing, MichaelImperioli MiraSorvino GaryWinick,7.2
296,Twelfth Night,Drama Comedy Romance HelenaBonhamCarter RichardE.Grant NigelHawthorne TrevorNunn,6.9
297,Mother Night,Drama History NickNolte SherylLee AlanArkin KeithGordon,6.715
298,For Whom the Bell Tolls,Drama History Romance Thriller GaryCooper IngridBergman AkimTamiroff SamWood,6.624
299,The Philadelphia Story,Comedy Romance KatharineHepburn CaryGrant JamesStewart GeorgeCukor,7.662
300,Singin' in the Rain,Comedy Music Romance GeneKelly DonaldO'Connor DebbieReynolds StanleyDonen,8.165
301,An American in Paris,Drama Comedy Music Romance GeneKelly LeslieCaron OscarLevant VincenteMinnelli,7.058
302,Breakfast at Tiffany's,Comedy Drama Romance AudreyHepburn GeorgePeppard PatriciaNeal BlakeEdwards,7.684
303,Vertigo,Mystery Romance Thriller JamesStewart KimNovak BarbaraBelGeddes AlfredHitchcock,8.19
304,Rear Window,Drama Mystery Thriller JamesStewart GraceKelly WendellCorey AlfredHitchcock,8.359
305,It Happened One Night,Comedy Romance ClarkGable ClaudetteColbert WalterConnolly FrankCapra,7.883
306,Gaslight,Drama Mystery Thriller Crime CharlesBoyer IngridBergman JosephCotten GeorgeCukor,7.525
307,The Gay Divorcee,Comedy Music Romance FredAstaire GingerRogers AliceBrady MarkSandrich,6.95
308,North by Northwest,Mystery Thriller CaryGrant EvaMarieSaint JamesMason AlfredHitchcock,7.99
309,The Apartment,Comedy Drama Romance JackLemmon ShirleyMacLaine FredMacMurray BillyWilder,8.225
310,Some Like It Hot,Comedy Romance MarilynMonroe TonyCurtis JackLemmon BillyWilder,8.117
311,Charade,Comedy Mystery Romance Thriller CaryGrant AudreyHepburn WalterMatthau StanleyDonen,7.695
312,Casablanca,Drama Romance HumphreyBogart IngridBergman PaulHenreid MichaelCurtiz,8.2
313,The Maltese Falcon,Mystery Crime Thriller HumphreyBogart MaryAstor GladysGeorge JohnHuston,7.8
314,My Fair Lady,Drama Family Music Romance AudreyHepburn RexHarrison StanleyHolloway GeorgeCukor,7.543
315,Sabrina,Comedy Drama Romance HumphreyBogart AudreyHepburn WilliamHolden BillyWilder,7.53
316,Roman Holiday,Comedy Romance GregoryPeck AudreyHepburn EddieAlbert WilliamWyler,7.891
317,The Little Princess,Drama Comedy Family ShirleyTemple RichardGreene AnitaLouise WalterLang,7.232
318,Meet Me in St. Louis,Comedy Music Romance JudyGarland MargaretO'Brien MaryAstor VincenteMinnelli,7.0
319,The Wizard of Oz,Adventure Family Fantasy JudyGarland FrankMorgan RayBolger VictorFleming,7.58
320,Gone with the Wind,Drama Romance War VivienLeigh ClarkGable OliviadeHavilland VictorFleming,7.973
321,My Favorite Year,Comedy Drama PeterO'Toole MarkLinn-Baker JessicaHarper RichardBenjamin,6.994
322,Sunset Boulevard,Drama WilliamHolden GloriaSwanson ErichvonStroheim BillyWilder,8.36
323,Citizen Kane,Mystery Drama OrsonWelles JosephCotten DorothyComingore OrsonWelles,8.02
324,2001: A Space Odyssey,SciFi Mystery Adventure KeirDullea GaryLockwood WilliamSylvester StanleyKubrick,8.085
325,All About Eve,Drama BetteDavis AnneBaxter GeorgeSanders JosephL.Mankiewicz,8.15
326,Rebecca,Drama Mystery LaurenceOlivier JoanFontaine GeorgeSanders AlfredHitchcock,7.919
327,Foreign Correspondent,Mystery Thriller War JoelMcCrea LaraineDay HerbertMarshall AlfredHitchcock,7.0
328,Notorious,Thriller Drama Romance CaryGrant IngridBergman ClaudeRains AlfredHitchcock,6.945
329,Spellbound,Drama Mystery Thriller IngridBergman GregoryPeck MichaelChekhov AlfredHitchcock,7.5
330,An Affair to Remember,Drama Romance CaryGrant DeborahKerr RichardDenning LeoMcCarey,7.421
331,To Catch a Thief,Crime Drama Mystery Romance Thriller CaryGrant GraceKelly JessieRoyceLandis AlfredHitchcock,7.34
332,Father of the Bride,Comedy Drama Family Romance SpencerTracy JoanBennett ElizabethTaylor VincenteMinnelli,6.562
333,The Band Wagon,Comedy Music FredAstaire CydCharisse OscarLevant VincenteMinnelli,7.195
334,Ninotchka,Comedy Romance GretaGarbo MelvynDouglas InaClaire ErnstLubitsch,7.534
335,Love in the Afternoon,Comedy Drama Romance GaryCooper AudreyHepburn MauriceChevalier BillyWilder,7.074
336,The Adventures of Robin Hood,Action Adventure Romance ErrolFlynn OliviadeHavilland BasilRathbone MichaelCurtiz,7.467
337,The Mark of Zorro,Action Adventure Drama Romance Western TyronePower LindaDarnell BasilRathbone RoubenMamoulian,7.096
338,Laura,Drama Mystery GeneTierney DanaAndrews CliftonWebb OttoPreminger,7.662
339,The Ghost and Mrs. Muir,Fantasy Romance Mystery GeneTierney RexHarrison GeorgeSanders JosephL.Mankiewicz,7.7
340,Lost Horizon,Adventure Fantasy Drama Mystery RonaldColman JaneWyatt EdwardEverettHorton FrankCapra,7.121
341,Top Hat,Comedy Music Romance FredAstaire GingerRogers EdwardEverettHorton MarkSandrich,7.33
342,To Be or Not to Be,Comedy War CaroleLombard JackBenny RobertStack ErnstLubitsch,7.902
343,My Man Godfrey,Comedy Romance WilliamPowell CaroleLombard AliceBrady GregoryLaCava,7.551
344,Giant,Action Drama Western ElizabethTaylor RockHudson JamesDean GeorgeStevens,7.632
345,East of Eden,Drama JamesDean JulieHarris RaymondMassey EliaKazan,7.582
346,The Thin Man,Comedy Crime Mystery WilliamPowell MyrnaLoy MaureenO'Sullivan W.S.VanDyke,7.533
347,His Girl Friday,Comedy Drama CaryGrant RosalindRussell RalphBellamy HowardHawks,7.43
348,Around the World in Eighty Days,Adventure Comedy Family Fantasy Romance DavidNiven Cantinflas FinlayCurrie MichaelAnderson,6.7
349,It's a Wonderful Life,Drama Family Fantasy JamesStewart DonnaReed LionelBarrymore FrankCapra,8.259
350,Mr. Smith Goes to Washington,Comedy Drama JamesStewart JeanArthur ClaudeRains FrankCapra,7.901
351,Bringing Up Baby,Comedy Romance KatharineHepburn CaryGrant CharlesRuggles HowardHawks,7.564
352,Penny Serenade,Drama Romance IreneDunne CaryGrant BeulahBondi GeorgeStevens,6.626
353,Little Lord Fauntleroy,Drama Family FreddieBartholomew DoloresCostello C.AubreySmith JohnCromwell,7.319
354,Angel and the Badman,Romance Western JohnWayne GailRussell HarryCarey JamesEdwardGrant,6.52
355,The 39 Steps,Action Thriller Mystery RobertDonat MadeleineCarroll LucieMannheim AlfredHitchcock,7.393
356,Night of the Living Dead,Horror DuaneJones JudithO'Dea KarlHardman GeorgeA.Romero,7.629
357,The African Queen,Adventure War Romance HumphreyBogart KatharineHepburn RobertMorley JohnHuston,7.361
358,Cat on a Hot Tin Roof,Drama Romance ElizabethTaylor PaulNewman BurlIves RichardBrooks,7.685
359,Meet John Doe,Drama Comedy Romance BarbaraStanwyck GaryCooper EdwardArnold FrankCapra,7.322
360,Small Wonders,Documentary Family  AllanMiller,7.4
361,Fly Away Home,Action Adventure Drama Family JeffDaniels AnnaPaquin DanaDelany CarrollBallard,6.886
362,Michael Collins,Drama Thriller LiamNeeson AidanQuinn StephenRea NeilJordan,6.914
363,Infinity,Drama Romance MatthewBroderick PatriciaArquette PeterRiegert MatthewBroderick,6.571
364,Big Night,Drama StanleyTucci TonyShalhoub MarcAnthony StanleyTucci,6.872
365,Set It Off,Drama Action Crime JadaPinkettSmith QueenLatifah VivicaA.Fox F.GaryGray,7.208
366,The Apple Dumpling Gang,Comedy Family DonKnotts TimConway HarryMorgan NormanTokar,6.6
367,"Davy Crockett, King of the Wild Frontier",Action Adventure Family Western FessParker HansConried BuddyEbsen NormanFoster,6.542
368,The Love Bug,Comedy Family Fantasy DeanJones MicheleLee BuddyHackett RobertStevenson,6.544
369,Old Yeller,Adventure Drama Western DorothyMcGuire FessParker TommyKirk RobertStevenson,6.949
370,The Parent Trap,Comedy Family HayleyMills MaureenO'Hara BrianKeith DavidSwift,7.158
371,Pollyanna,Adventure HayleyMills JaneWyman RichardEgan DavidSwift,7.025
372,Homeward Bound: The Incredible Journey,Adventure Comedy Drama Family MichaelJ.Fox SallyField DonAmeche DuwayneDunham,6.945
373,Swiss Family Robinson,Adventure Family JohnMills DorothyMcGuire JamesMacArthur KenAnnakin,6.919
374,That Darn Cat!,Drama Family Comedy HayleyMills DeanJones DorothyProvine RobertStevenson,6.6
375,"20,000 Leagues Under the Sea",Adventure Drama SciFi KirkDouglas JamesMason PaulLukas RichardFleischer,7.077
376,Cool Runnings,Comedy LeonRobinson DougE.Doug RawleD.Lewis JonTurteltaub,6.988
377,Cinderella,Family Fantasy Animation Romance IleneWoods EleanorAudley LucilleBliss ClydeGeronimi,6.801
378,Winnie the Pooh and the Blustery Day,Animation Family Music SterlingHolloway JohnFiedler PaulWinchell WolfgangReitherman,7.33
379,The Sword in the Stone,Animation Family SebastianCabot KarlSwenson JuniusMatthews WolfgangReitherman,7.249
380,Robin Hood: Prince of Thieves,Adventure KevinCostner MorganFreeman ChristianSlater KevinReynolds,6.847
381,Mary Poppins,Comedy Family Fantasy JulieAndrews DickVanDyke DavidTomlinson RobertStevenson,7.567
382,Dumbo,Animation Family SterlingHolloway HermanBing JohnMcLeish SamuelArmstrong,6.998
383,Bedknobs and Broomsticks,Adventure Fantasy Animation Comedy Family Music AngelaLansbury DavidTomlinson RoddyMcDowall RobertStevenson,7.013
384,Alice in Wonderland,Animation Adventure Family Fantasy KathrynBeaumont VernaFelton EdWynn HamiltonLuske,6.62
385,The Fox and the Hound,Adventure Animation Drama Family MickeyRooney KurtRussell PearlBailey TedBerman,7.134
386,The Sound of Music,Drama Family Music Romance JulieAndrews ChristopherPlummer EleanorParker RobertWise,7.704
387,Die Hard,Action Thriller BruceWillis AlanRickman AlexanderGodunov JohnMcTiernan,7.767
388,The Secret Agent,Drama Thriller BobHoskins PatriciaArquette JimBroadbent ChristopherHampton,8.5
389,Secrets & Lies,Drama TimothySpall BrendaBlethyn MarianneJean-Baptiste MikeLeigh,7.598
390,That Thing You Do!,Comedy Drama TomEverettScott JohnathonSchaech TomHanks TomHanks,6.869
391,Beautiful Thing,Comedy Drama Romance LindaHenry GlenBerry ScottNeal HettieMacDonald,7.3
392,The Long Kiss Goodnight,Crime Action Mystery Thriller GeenaDavis SamuelL.Jackson YvonneZima RennyHarlin,6.618
393,The Ghost and the Darkness,Adventure MichaelDouglas ValKilmer TomWilkinson StephenHopkins,6.8
394,Looking for Richard,Documentary AlPacino WinonaRyder KevinSpacey AlPacino,6.736
395,Trees Lounge,Comedy Drama SteveBuscemi ChloëSevigny CarolKane SteveBuscemi,6.9
396,Get on the Bus,Drama OssieDavis CharlesS.Dutton AndreBraugher SpikeLee,6.7
397,Romeo + Juliet,Drama Romance LeonardoDiCaprio ClaireDanes JohnLeguizamo BazLuhrmann,6.801
398,Sleepers,Crime Drama Thriller RobertDeNiro BradPitt KevinBacon BarryLevinson,7.599
399,"Murder, My Sweet",Crime Drama Mystery Thriller DickPowell ClaireTrevor AnneShirley EdwardDmytryk,7.311
400,Willy Wonka & the Chocolate Factory,Family Fantasy GeneWilder JackAlbertson PeterOstrum MelStuart,7.5
401,The Innocents,Horror DeborahKerr PeterWyngarde MegsJenkins JackClayton,7.435
402,Sleeper,Comedy Romance SciFi WoodyAllen DianeKeaton JohnBeck WoodyAllen,6.909
403,Bananas,Comedy WoodyAllen LouiseLasser CarlosMontalbán WoodyAllen,6.686
404,A Fish Called Wanda,Comedy Crime JohnCleese JamieLeeCurtis KevinKline CharlesCrichton,7.208
405,Life of Brian,Comedy GrahamChapman JohnCleese TerryGilliam TerryJones,7.754
406,Victor/Victoria,Comedy Music Romance JulieAndrews JamesGarner RobertPreston BlakeEdwards,7.2
407,The Candidate,Comedy Drama RobertRedford PeterBoyle MelvynDouglas MichaelRitchie,6.6
408,The Great Race,Adventure Comedy JackLemmon TonyCurtis NatalieWood BlakeEdwards,7.185
409,Bonnie and Clyde,Crime Drama WarrenBeatty FayeDunaway MichaelJ.Pollard ArthurPenn,7.49
410,The Old Man and the Sea,Adventure Drama SpencerTracy FelipePazos HarryBellaver JohnSturges,6.512
411,Dial M for Murder,Crime Mystery Thriller RayMilland GraceKelly RobertCummings AlfredHitchcock,8.026
412,Dirty Dancing,Drama Music Romance JenniferGrey PatrickSwayze JerryOrbach EmileArdolino,7.345
413,Reservoir Dogs,Crime Thriller HarveyKeitel TimRoth MichaelMadsen QuentinTarantino,8.14
414,Platoon,Drama War Action TomBerenger CharlieSheen WillemDafoe OliverStone,7.746
415,Basic Instinct,Thriller Mystery MichaelDouglas SharonStone GeorgeDzundza PaulVerhoeven,6.895
416,The Doors,Drama Music ValKilmer MegRyan KyleMacLachlan OliverStone,7.103
417,The Crying Game,Romance Crime Drama Thriller StephenRea JayeDavidson MirandaRichardson NeilJordan,6.892
418,Glengarry Glen Ross,Crime Drama Mystery AlPacino JackLemmon AlecBaldwin JamesFoley,7.388
419,Sophie's Choice,Drama Romance MerylStreep KevinKline PeterMacNicol AlanJ.Pakula,7.361
420,E.T. the Extra-Terrestrial,SciFi Adventure Family Fantasy HenryThomas DrewBarrymore RobertMacNaughton StevenSpielberg,7.505
421,A Christmas Carol,Fantasy Drama Family ReginaldOwen GeneLockhart KathleenLockhart EdwinL.Marin,7.063
422,Top Gun,Action Romance War TomCruise KellyMcGillis ValKilmer TonyScott,7.036
423,Rebel Without a Cause,Drama JamesDean NatalieWood SalMineo NicholasRay,7.566
424,A Streetcar Named Desire,Drama VivienLeigh MarlonBrando KimHunter EliaKazan,7.665
425,The Funeral,Crime Drama ChristopherWalken ChrisPenn AnnabellaSciorra AbelFerrara,6.905
426,North Star,Action Adventure Drama Western JamesCaan ChristopherLambert CatherineMcCormack NilsGaup,6.914
427,The People vs. Larry Flynt,Drama WoodyHarrelson CourtneyLove EdwardNorton MilošForman,6.953
428,On Golden Pond,Drama KatharineHepburn HenryFonda JaneFonda MarkRydell,7.319
429,The Return of the Pink Panther,Mystery Comedy Crime PeterSellers ChristopherPlummer HerbertLom BlakeEdwards,6.823
430,The Abyss,Adventure Action Thriller SciFi EdHarris MaryElizabethMastrantonio MichaelBiehn JamesCameron,7.328
431,Escape from New York,SciFi Action KurtRussell LeeVanCleef ErnestBorgnine JohnCarpenter,7.064
432,The Howling,Drama Horror PatrickMacnee DennisDugan ChristopherStone JoeDante,6.57
433,Monty Python and the Holy Grail,Adventure Comedy Fantasy GrahamChapman JohnCleese TerryGilliam TerryGilliam,7.798
434,Dadetown,  RussHexter,8.0
435,Three Lives and Only One Death,Comedy Crime MarcelloMastroianni AnnaGaliena MarisaParedes RaúlRuiz,6.629
436,When We Were Kings,Documentary MuhammadAli GeorgeForeman DonKing LeonGast,7.711
437,The Wrong Trousers,Animation Comedy Family PeterSallis NickPark,7.745
438,He Walked by Night,Drama Thriller RichardBasehart ScottBrady RoyRoberts AnthonyMann,6.679
439,Here Comes Cookie, GeorgeBurns GracieAllen GeorgeBarbier NormanZ.McLeod,6.7
440,The Ruling Class,Drama Comedy PeterO'Toole AlastairSim ArthurLowe PeterMedak,6.674
441,Bad Moon,Horror MarielHemingway MichaelParé MasonGamble EricRed,6.8
442,Bob Roberts,Comedy Drama TimRobbins GiancarloEsposito AlanRickman TimRobbins,6.556
443,"The Cook, the Thief, His Wife & Her Lover",Crime Drama RichardBohringer MichaelGambon HelenMirren PeterGreenaway,7.365
444,Enchanted April,Romance Drama JosieLawrence MirandaRichardson JoanPlowright MikeNewell,6.8
445,Paths of Glory,Drama War KirkDouglas RalphMeeker AdolpheMenjou StanleyKubrick,8.277
446,The Grifters,Crime Drama AnjelicaHuston JohnCusack AnnetteBening StephenFrears,6.584
447,The English Patient,Drama Romance War RalphFiennes JulietteBinoche WillemDafoe AnthonyMinghella,7.181
448,My Left Foot: The Story of Christy Brown,Drama DanielDay-Lewis BrendaFricker AlisonWhelan JimSheridan,7.549
449,"Sex, Lies, and Videotape",Drama AndieMacDowell PeterGallagher JamesSpader StevenSoderbergh,6.947
450,Passion Fish,Drama MaryMcDonnell AlfreWoodard LenoreBanks JohnSayles,6.809
451,Strictly Ballroom,Comedy Drama Romance PaulMercurio TaraMorice BillHunter BazLuhrmann,6.608
452,The Thin Blue Line,Mystery Documentary Crime RandallAdams DavidHarris GusRose ErrolMorris,7.751
453,Paris is Burning,Documentary DorianCorey PepperLaBeija WilliNinja JennieLivingston,8.085
454,One Flew Over the Cuckoo's Nest,Drama JackNicholson LouiseFletcher DannyDeVito MilošForman,8.423
455,Up in Smoke,Comedy CheechMarin TommyChong StrotherMartin LouAdler,6.694
456,The Empire Strikes Back,Adventure Action SciFi MarkHamill HarrisonFord CarrieFisher IrvinKershner,8.392
457,The Princess Bride,Adventure Family Fantasy Comedy Romance CaryElwes RobinWright MandyPatinkin RobReiner,7.662
458,Raiders of the Lost Ark,Adventure Action HarrisonFord KarenAllen PaulFreeman StevenSpielberg,7.922
459,Brazil,Comedy SciFi JonathanPryce RobertDeNiro KatherineHelmond TerryGilliam,7.68
460,Aliens,Horror Action Thriller SciFi SigourneyWeaver MichaelBiehn JamesRemar JamesCameron,7.923
461,Withnail & I,Comedy Drama RichardE.Grant PaulMcGann RichardGriffiths BruceRobinson,7.34
462,12 Angry Men,Drama HenryFonda MartinBalsam JohnFiedler SidneyLumet,8.538
463,Lawrence of Arabia,Adventure Drama History War PeterO'Toole AlecGuinness AnthonyQuinn DavidLean,7.978
464,A Clockwork Orange,SciFi Drama MalcolmMcDowell PatrickMagee AdrienneCorri StanleyKubrick,8.217
465,To Kill a Mockingbird,Crime Drama GregoryPeck BrockPeters JamesAnderson RobertMulligan,8.01
466,Apocalypse Now,Drama War MartinSheen MarlonBrando RobertDuvall FrancisFordCoppola,8.28
467,Return of the Jedi,Adventure Action SciFi MarkHamill HarrisonFord CarrieFisher RichardMarquand,7.89
468,The Third Man,Thriller Mystery JosephCotten AlidaValli OrsonWelles CarolReed,7.969
469,GoodFellas,Drama Crime RobertDeNiro RayLiotta JoePesci MartinScorsese,8.466
470,Alien,Horror Action Thriller SciFi TomSkerritt SigourneyWeaver VeronicaCartwright RidleyScott,8.142
471,Army of Darkness,Fantasy Horror Comedy BruceCampbell EmbethDavidtz MarcusGilbert SamRaimi,7.273
